DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Nb items,Avg Nb items,Avg item amount,PayMeth_Bancontact,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Never Discount,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Recent City_amsterdam,Recent City_den haag,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent Country_be,Recent Country_de,Recent Country_nl,cluster
263,1,39.95,39.95,1,1.0,39.95,0,0,1,0,0,0,1,0.0,0,0,0,0,1,263,208,False,False,False,False,False,False,False,True,2
175,1,122.15,122.15,1,1.0,122.15,0,0,0,0,1,0,1,0.0,0,1,1,1,1,175,104,False,False,False,False,False,False,False,True,1
387,3,395.84,65.97,8,1.0,25.62,0,1,0,0,0,0,0,0.05,1,0,0,1,1,1005,291,False,False,False,False,True,False,False,True,3
319,2,70.9,35.45,2,1.0,35.45,0,1,0,0,1,0,1,0.0,0,2,0,0,1,692,1,False,False,False,False,False,False,False,True,2
100,3,248.79,82.93,10,3.0,27.62,0,1,0,0,1,1,0,0.32,1,2,0,1,1,403,22,False,False,True,False,False,False,False,True,4
190,1,67.5,33.75,2,1.0,18.76,0,0,0,0,1,1,0,0.11,0,0,0,0,1,190,41,False,False,False,False,False,False,False,True,1
387,1,1487.88,371.97,14,4.0,29.95,0,0,0,1,0,1,0,0.11,0,2,0,0,1,435,80,False,False,False,False,False,False,False,True,4
18,1,229.08,76.36,3,1.0,28.28,0,0,0,0,1,1,0,0.11,0,1,1,0,1,18,-2,False,False,False,False,False,True,False,False,1
387,3,420.55,70.09,7,1.0,30.11,0,1,0,0,0,1,0,0.23,1,1,0,1,1,643,2,False,False,False,False,False,False,False,True,4
280,2,436.72,109.18,7,2.0,27.15,0,1,0,0,1,1,0,0.1,0,0,0,1,1,461,179,False,False,False,False,False,False,False,True,3
320,1,35.95,35.95,1,1.0,39.95,0,0,1,0,0,1,0,0.11,0,1,1,0,1,320,40,False,False,False,False,False,False,False,True,1
387,2,306.15,61.23,6,1.0,19.75,0,1,0,0,0,1,0,0.05,0,1,0,1,1,1063,387,False,False,False,False,False,False,False,True,3
24,1,89.26,44.63,2,1.0,25.95,0,0,0,0,1,1,0,0.16,0,1,1,0,0,24,-2,False,False,False,False,False,False,False,True,1
169,1,53.9,53.9,2,2.0,26.95,0,0,1,0,0,0,1,0.0,0,0,0,1,1,169,141,False,False,False,False,False,False,False,True,2
190,3,654.47,93.5,10,1.0,27.86,0,1,0,0,1,1,0,0.23,0,0,0,1,1,729,162,False,False,False,False,False,False,False,True,4
110,2,198.14,49.54,4,1.0,29.98,0,1,0,0,1,1,0,0.32,0,1,0,1,1,995,-5,False,False,False,False,False,False,False,True,3
221,1,57.9,57.9,2,2.0,28.95,0,0,0,0,1,0,1,0.0,0,2,0,1,1,221,118,False,False,False,False,False,False,False,True,2
123,3,289.99,96.66,7,2.0,59.72,0,1,1,1,0,0,0,0.05,0,0,0,0,1,588,97,False,False,False,False,False,False,False,True,3
330,1,115.8,57.9,2,1.0,28.95,0,0,0,0,1,0,1,0.0,0,2,0,0,1,330,172,False,False,False,False,False,False,False,True,2
387,1,109.62,54.81,2,1.0,30.2,0,1,0,0,0,1,0,0.1,0,0,0,0,1,554,387,False,False,False,False,False,False,False,True,3
387,3,263.79,52.76,6,1.0,30.28,0,1,0,0,0,1,0,0.16,0,0,0,1,1,788,56,False,False,False,False,False,False,False,True,3
387,1,24.95,24.95,1,1.0,24.95,0,1,0,0,0,0,1,0.0,0,0,0,0,1,916,186,False,False,False,False,False,False,False,True,2
273,1,131.8,65.9,2,1.0,32.95,0,0,1,0,0,0,1,0.0,0,1,1,1,1,273,187,False,False,False,False,False,False,False,True,2
271,1,34.95,34.95,1,1.0,34.95,0,0,0,0,1,0,1,0.0,0,0,0,1,1,271,173,True,False,False,False,False,False,False,True,2
237,1,62.91,62.91,2,2.0,34.95,0,0,0,0,1,1,0,0.11,0,0,0,1,1,347,159,True,False,False,False,False,False,False,True,1
387,1,31.46,31.46,1,1.0,34.34,0,0,0,1,0,1,0,0.09,0,0,0,1,1,827,251,False,False,False,False,False,False,False,True,3
387,1,32.95,32.95,1,1.0,32.95,0,1,0,0,0,0,1,0.0,0,0,0,0,1,750,387,False,False,False,False,False,False,False,True,2
197,2,547.38,109.48,5,1.0,43.1,0,0,1,0,1,1,0,0.11,0,0,0,1,1,800,83,False,False,False,False,False,False,False,True,1
114,1,93.42,46.71,2,1.0,25.95,0,0,0,0,1,1,0,0.11,0,2,0,0,1,114,-2,False,False,False,False,False,True,False,False,1
245,1,38.95,38.95,1,1.0,38.95,0,0,0,0,1,0,1,0.0,0,0,0,1,1,245,208,False,False,False,False,False,False,False,True,2
154,3,156.41,52.14,3,1.0,58.19,0,1,0,0,1,0,0,0.18,0,0,0,1,1,499,2,False,False,False,False,False,False,False,True,1
387,1,132.72,66.36,3,2.0,23.95,0,1,0,0,0,1,0,0.05,0,1,0,0,1,720,263,False,False,False,False,False,False,False,True,3
387,3,257.35,85.78,11,4.0,26.48,0,1,0,0,0,1,0,0.21,1,0,0,1,1,661,387,False,False,False,False,False,False,False,True,3
186,1,208.44,104.22,4,2.0,28.95,0,0,0,0,1,1,0,0.11,0,0,0,1,1,186,41,False,False,False,False,False,False,False,True,1
103,2,360.04,90.01,6,2.0,41.2,0,0,0,0,1,1,0,0.46,0,0,0,0,0,185,77,False,False,False,False,False,False,False,True,1
377,1,109.8,54.9,2,1.0,27.45,0,1,0,0,0,0,1,0.0,0,2,0,1,1,389,126,False,False,False,False,False,False,False,True,2
387,1,30.56,30.56,1,1.0,33.36,0,1,0,0,0,1,0,0.09,0,1,0,0,1,693,39,False,False,False,False,False,False,False,True,3
387,1,377.38,188.69,7,4.0,29.43,0,1,0,0,0,1,0,0.09,0,1,0,1,1,1001,86,False,False,False,False,False,False,False,True,3
387,1,91.67,91.67,3,3.0,33.36,1,0,0,0,0,1,0,0.09,0,1,0,1,1,615,0,False,False,False,False,False,True,False,False,0
219,1,36.95,36.95,1,1.0,36.95,0,0,0,0,1,0,1,0.0,0,0,0,0,1,219,105,False,False,False,False,False,False,False,True,2
310,1,36.85,36.85,1,1.0,40.95,0,0,0,0,1,1,0,0.11,0,2,0,0,1,310,66,False,False,False,False,False,False,False,True,1
387,1,0.0,0.0,1,1.0,24.75,0,1,0,0,0,1,0,1.0,0,2,0,0,1,953,2,False,False,False,False,False,False,False,True,3
377,1,415.18,207.59,7,4.0,32.95,0,1,0,0,0,1,0,0.11,0,0,0,1,1,435,211,False,False,False,False,False,False,False,True,3
167,1,26.95,26.95,1,1.0,29.95,0,0,0,0,1,1,0,0.11,0,0,0,1,1,167,41,False,False,False,False,False,False,False,True,1
184,3,122.6,40.87,4,1.0,31.28,0,0,1,0,1,0,0,0.11,1,1,1,0,1,249,2,False,False,False,False,False,True,False,False,1
387,1,32.95,32.95,1,1.0,32.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,510,1,False,False,False,False,False,False,False,True,2
387,1,107.8,53.9,2,1.0,26.95,0,1,0,0,0,0,1,0.0,0,0,0,1,1,1069,124,False,False,False,False,False,False,False,True,2
387,1,127.8,127.8,5,5.0,30.84,0,1,0,0,0,1,0,0.21,0,0,0,0,1,966,387,False,False,False,False,True,False,False,True,3
82,4,334.87,47.84,8,1.0,31.37,0,1,0,0,1,1,0,1.0,1,1,1,1,1,581,-3,False,False,False,False,True,False,False,True,4
300,1,53.91,53.91,2,2.0,29.95,0,0,0,0,1,1,0,0.11,0,0,0,1,1,300,41,False,False,False,False,True,False,False,True,1
387,3,124.1,31.02,4,1.0,27.76,0,1,0,1,0,1,0,1.0,0,2,0,1,0,953,387,True,False,False,False,False,False,False,True,3
387,1,31.95,31.95,1,1.0,31.95,0,1,0,0,0,0,1,0.0,0,0,0,0,1,1002,387,False,False,False,False,False,False,False,True,2
21,2,464.85,77.48,6,1.0,30.95,0,0,0,0,1,1,0,0.29,1,2,0,1,1,126,-1,False,False,False,False,False,False,False,True,1
387,1,44.72,44.72,2,2.0,26.98,0,1,0,0,0,1,0,0.21,0,2,0,0,1,1002,2,False,False,False,False,False,False,False,True,3
387,2,668.66,167.16,12,3.0,30.18,0,1,0,0,0,1,0,0.09,1,0,0,1,1,812,64,False,False,False,False,False,False,False,True,4
387,1,59.9,59.9,2,2.0,29.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,719,140,False,False,False,False,False,False,False,True,2
387,2,144.68,72.34,5,2.0,30.9,0,0,0,1,0,1,0,0.09,0,1,0,1,1,853,40,False,False,False,False,False,False,False,True,3
377,2,546.3,91.05,6,1.0,31.95,0,1,0,0,0,1,0,0.05,1,2,0,0,1,412,253,False,False,False,False,False,False,False,True,3
377,1,30.95,30.95,1,1.0,30.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,426,328,False,False,False,False,False,False,False,True,2
387,1,187.82,93.91,3,2.0,33.45,0,1,0,0,0,1,0,0.05,0,2,0,1,1,794,387,False,False,False,False,False,False,False,True,3
387,2,844.91,105.61,8,1.0,28.04,0,0,0,1,0,1,0,0.21,0,1,0,1,1,853,2,False,False,False,False,False,False,False,True,3
387,1,1257.83,179.69,7,1.0,28.52,0,1,0,0,0,1,0,0.11,0,2,0,0,1,764,-2,False,False,False,False,False,False,False,True,3
387,1,234.48,78.16,3,1.0,28.71,1,0,0,0,0,1,0,0.1,0,0,0,1,1,536,96,False,False,False,False,False,True,False,False,0
387,1,36.95,36.95,1,1.0,36.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,643,387,False,False,False,False,False,False,False,True,2
377,2,59.9,29.95,2,1.0,29.95,0,1,0,0,0,0,1,0.0,0,0,0,1,1,407,377,False,False,False,False,False,False,False,True,2
257,1,33.25,33.25,1,1.0,36.95,0,0,1,0,0,1,0,0.11,0,2,0,1,1,257,97,False,False,False,False,False,True,False,False,0
387,2,67.9,33.95,2,1.0,33.95,0,0,0,1,0,0,1,0.0,0,2,0,0,1,598,117,False,False,False,False,False,False,False,True,2
387,1,244.38,122.19,5,2.0,26.98,0,1,0,0,0,1,0,0.09,0,0,0,1,1,789,387,False,False,False,False,False,False,False,True,3
241,2,73.85,36.92,3,2.0,26.95,0,0,0,0,1,0,1,0.0,0,2,0,0,1,242,2,False,False,False,False,False,False,False,True,2
387,1,129.8,64.9,2,1.0,32.45,0,1,0,0,0,0,1,0.0,0,2,0,1,1,833,28,False,False,False,False,False,False,False,True,2
387,2,218.07,54.52,4,1.0,27.85,1,0,0,0,0,1,0,0.23,0,0,0,0,1,464,387,False,False,False,False,False,True,False,False,0
387,1,118.6,59.3,2,1.0,32.67,0,1,0,0,0,1,0,0.1,0,1,0,0,1,541,1,False,False,False,False,False,False,False,True,3
20,2,988.44,123.56,9,1.0,33.33,0,0,0,0,1,1,0,0.37,0,2,0,1,1,355,6,False,False,False,False,False,False,False,True,1
377,1,32.95,32.95,1,1.0,32.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,433,121,False,False,False,False,False,False,False,True,2
387,2,281.62,70.4,5,1.0,30.54,0,1,0,0,0,1,0,0.15,0,2,0,0,1,641,21,False,False,False,False,False,False,False,True,3
245,4,343.06,57.18,7,1.0,32.28,0,1,0,0,1,0,0,0.11,1,1,0,1,1,859,0,False,False,False,False,False,False,False,True,4
387,1,28.95,28.95,1,1.0,28.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,556,1,False,False,False,False,False,False,False,True,2
387,1,72.76,72.76,3,3.0,26.48,0,0,0,1,0,1,0,0.09,0,0,0,1,1,794,387,False,False,False,False,False,False,False,True,3
219,1,457.11,152.37,7,2.0,30.03,0,0,0,0,1,0,1,0.0,0,2,0,1,1,219,109,False,False,False,False,False,False,False,True,2
387,1,36.95,36.95,1,1.0,36.95,0,1,0,0,0,0,1,0.0,0,1,0,1,1,653,32,False,False,False,False,False,False,False,True,2
132,1,332.12,83.03,4,1.0,25.45,0,0,0,0,1,1,0,0.23,0,0,0,1,1,136,41,False,False,False,False,False,False,False,True,1
387,2,259.35,51.87,5,1.0,19.95,0,1,0,0,0,0,1,0.0,1,0,0,1,1,594,165,False,False,False,False,False,False,False,True,2
387,2,47.52,23.76,2,1.0,27.6,0,1,0,0,0,1,0,0.16,0,0,0,0,1,492,387,False,False,False,False,False,False,False,True,3
